,spotify_song_id,weeks_on_chart,artists,name,peak_position
0,000xQL6tZNLJzIrtIgxqSl,3,Zayn,Still Got Time,66
1,00B7TZ0Xawar6NZ00JFomN,3,Cardi B,Best Life,39
2,01TnVDiet1DFTsyWKUKovl,3,XXXTENTACION,Numb,80
3,01jIO8SJFnpSiNLH1JaBZ5,12,Jacquees,You,58
4,01z2fBGB8Hl3Jd3zXe4IXR,1,Mac Miller,Come Back To Earth,91
5,038kavjqUaGIYZL5lYocvX,6,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage, Rvssian",Krippy Kush,75
6,03eJ2DclFWXYU8GWgANdmZ,11,XXXTENTACION,BAD!,16
7,04MLEeAMuV9IlHEsD8vF6A,20,French Montana,No Stylist,47
8,04ZTP5KsCypmtCmQg5tH9R,20,Bebe Rexha,I'm A Mess,35
9,057sdYirt745dVbe48m7Hl,3,6ix9ine,WAKA,51
10,05KOgYg8PGeJyyWBPi5ja8,4,Drake,Free Smoke,18
11,05r1GGg1Rhs0RcUg27C82a,1,Lil Wayne,Famous,36
12,06FCvd7rrRcF3DdvWH5Isp,2,Kendrick Lamar,Lust.,42
13,06Gyf2pFDVmN5K8XAawG96,1,"Future, Young Thug",No Cap,62
14,06gD2ZtK3Dzc1BYqWExQJJ,20,Chris Stapleton,Broken Halos,45
15,0709StHzSeXpdj2zmqF2o2,4,Chris Brown,Tempo,88
16,07FkzikE6FuHIa8Ma7zJGc,20,NF,Lie,48
17,07gmjrX3LWBkCkfxjg0SrQ,2,Katy Perry,Cozy Little Christmas,53
18,081t95JRuDUrQYSS3h8iKk,11,Chris Young,Sober Saturday Night,47
19,08bNPGLD8AhKpnnERrAc6G,29,"Marshmello, Anne",Friends,11
20,08tq1XcHwVt5PHXUo87i0D,7,Dan + Shay,All To Myself,66
21,08wJ1B9yu9sPeoRa5fbpr3,16,Brothers Osborne,It Ain't My Fault,79
22,090R9OdFMbQQksvwuXmNEY,1,Kevin Gates,Let It Sing,82
23,09FfQO3PqHO4HIJL511Ksi,1,"Eminem, Jessie Reyez",Nice Guy,65
24,09IOPhEh1OMe0HD9b36FJk,3,Post Malone,Over Now,24
25,09IStsImFySgyp0pIQdqAc,40,"Zedd, Maren Morris, Grey",The Middle,5
26,09iyGiljLWRYXdRazFkdtJ,20,Maren Morris,I Could Use A Love Song,56
27,09lmraDvzBT3pUQ2rUtJzK,1,Drake,March 14,57
28,09mEdoA6zrmBPgTEN5qXmN,18,The Weeknd,Call Out My Name,4
29,09ts3GnICqYEU5PkQCpJK3,16,Justin Timberlake,Say Something,9
30,0AS63m1wHv9n4VVRizK6Hc,19,Shawn Mendes,Mercy,15
31,0AcicReEGm1qcENjqzh1Tg,1,Trippie Redd,Love Scars 3,73
32,0AluA5RNsa4Cx6XRhf2hWZ,4,Metro Boomin,10 Freaky Girls,42
33,0At2qAoaVjIwWNAqrscXli,35,Ella Mai,Boo'd Up,5
34,0BnTBAGmr9FtYwkZrwKhwS,5,DJ Khaled,Just Us,43
35,0CALOqrkXAE7WB2nyIATLk,1,"Hikaru Utada, Skrillex",Face My Fears,98
36,0CBQ0m3mufWH75LTYB3s6h,2,Lil Wayne,Let It Fly,10
37,0CfmNX2TXk7yoJqHJiixnp,2,"Cardi B, YG",She Bad,57
38,0CokSRCu5hZgPxcZBaEzVE,19,Macklemore,Glorious,49
39,0D5CXSUx8GOCHSY8KWgi9h,1,Logic,Yuck,87
40,0DiDStADDVh3SvAsoJAFMk,2,Jonas Brothers,Only Human,91
41,0E6PsO3ymCfUh7pJQjBgkj,15,The Carters,Apeshit,13
42,0ERbK7qVqveCaBWIiYCrl3,1,Romeo Santos,Bella y Sensual,95
43,0ESJlaM8CE1jRWaNtwSNj8,3,Travis Scott,Beibs In The Trap,90
44,0FZ4Dmg8jJJAPJnvBIzD9z,25,Kodak Black,ZEZE,2
45,0FbSpY8RPxTRxi1Fpj9Dz9,5,Blac Youngsta,Booty,73
46,0Fpen1PTuEnCmOJtUU9Iud,7,Lil Uzi Vert,New Patek,24
47,0Fv5N0cHBsl4bzCbollCAS,19,Big Sean,Moves,38
48,0G9rmRmQDFk9O2tzZLyRkc,1,Migos,Emoji A Chain,87
49,0Gl5s8IhMmQE5YQwM8Qx1J,4,Loren Allred,Never Enough,88
50,0HEmnAUT8PHznIAAmVXqFJ,1,George Michael,Faith,47
51,0HZk0QsXPhMNAWNDR3rYE8,3,Pentatonix,Hallelujah,23
52,0JHREzo9WzIP4vyybhSKPa,1,Five Finger Death Punch,Blue On Black,66
53,0JP9xo3adEtGSdUEISiszL,20,XXXTENTACION,Moonlight,13
54,0JYAsQJWIuaYUvZGF1qapT,1,Quavo,Rerun,88
55,0KKkJNfGyhkQ5aFogxQAPU,50,Bruno Mars,That's What I Like,1
56,0LG2cFomCi8Fb664Lvr3Nu,10,Darius Rucker,For The First Time,58
57,0MrRAUcB8AZiB9ue2VOBYe,1,Post Malone,Sugar Wraith,57
58,0N9uZRrJQ3lO5TmInEjLxc,12,Chris Lane,Take Back Home Girl,55
59,0NqZ65jPelNB13gzsvH2Ma,7,"Jacquees, Dej Loaf",At The Club,86
60,0Nwar8rweBUyfyuoyjjUvk,1,The Weeknd,Privilege,52
61,0OI7AFifLSoGzpb8bdBLLV,4,"Machine Gun Kelly,, Ambassadors, Bebe Rexha",Home,90
62,0OVhQZkNe7lh0fQeH96EFW,1,Bryson Tiller,Don't Get Too High,89
63,0OWZFobGSIW9GrSlQ9C5pc,19,Thomas Rhett,Marry Me,30
64,0OgGn1ofaj55l2PcihQQGV,14,Bryce Vine,Drew Barrymore,46
65,0OlS52TmtK2gPaEtdmr7DN,19,Old Dominion,No Such Thing As A Broken Heart,46
66,0PG9fbaaHFHfre2gUVo7AN,18,"Cardi B, Bruno Mars",Please Me,3
67,0PQoUlzP7ILdcrzpajHXc0,18,YK Osiris,Worth It,52
68,0PpfPNtQOOvbMNVJijTQj0,20,Pardison Fontaine,Backin' It Up,40
69,0Px86mRlxdB3YqpK6KXWlr,1,J. Cole,Once An Addict,47
70,0QIjsbm2fh1cJ45XO9eGqq,26,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,11
71,0QV16pno66L6K3fn4W13b7,1,Lil Uzi Vert,No Sleep Leak,90
72,0QVISdPWRllAmoDBG3DEHU,5,Plies,Rock,95
73,0Qh38w01QRXK6KHIv0e3hb,21,P!nk,What About Us,13
74,0R6Jlsq25eZB3Wftpxi3oF,1,Post Malone,Jonestown,73
75,0RRm4OS5ymfZryXBuj0G2m,13,City Girls,Twerk,29
76,0Rx0DJI556Ix5gBny6EWmn,3,Bazzi,Paradise,91
77,0SGkqnVQo9KPytSri1H6cF,22,Big Sean,Bounce Back,6
78,0STK94RxUulYqWzwFlyAb5,3,Demi Lovato,Sober,47
79,0SiywuOBRcynK0uKGWdCnn,1,Lady Gaga,Bad Romance,50
80,0SuLAslEMFZAXf0SwY7syi,12,Jon Bellion,All Time Low,16
81,0T6RSXxFhW8dRTWHI604ld,1,XXXTENTACION,One Minute,62
82,0TCnOEVeLQMXOUrpPlM7uY,1,Swae Lee,Guatemala,84
83,0TkJIyL69RAUIbNwGub6uR,1,AJR,Burn The House Down,100
84,0TlLq3lA83rQOYtrqBqSct,22,Drake,Nonstop,2
85,0UNeNA0dcfUMsGxvLwf2p3,1,Meek Mill,Pay You Back,78
86,0URaKGzNTtzKRtsJN1RkA9,1,Big Sean,Light,97
87,0Ult84lvFuqNvbyXwyRQ58,1,Clean Bandit,I Miss You,92
88,0VgkVdmE4gld66l8iyGjgx,31,Future,Mask Off,5
89,0W5oXFrxZNBTIS1eMW9Ofz,12,"Khalid, Kane Brown",Saturday Nights,57
90,0WVAQaxrT0wsGEG4BCVSn2,2,"Kygo, Imagine Dragons",Born To Be Yours,74
91,0WdR2AyLW1Drd3OUdwezM0,1,Ariana Grande,Everytime,62
92,0WyFpxYlBCgH1gMXd26OOr,18,Cole Swindell,Flatliner,56
93,0XOnMqLQDO89iAg7dWWwnG,1,Ariana Grande,Pete Davidson,99
94,0XQHz5C8PknyrEhyrKxVKa,10,Fifth Harmony,Down,42
95,0Xm8tw6qikotb8FAOZ2ks7,5,Hey Violet,Guys My Age,68
96,0Y7di9ZCmB6Elad5WISaPc,2,Lil Wayne,Dedicate,14
97,0ZNrc4kNeQYD9koZ3KvCsy,24,YG,Big Bank,16
98,0ZPCxNK4DIrF8KqrN3DxfA,1,Trippie Redd,Negative Energy,89
99,0afhq8XCExXpqazXczTSve,5,Ed Sheeran,Galway Girl,53
100,0b6UoVjUzFyZNpHI0aAhKt,1,DJ Khaled,Celebrate,52
101,0b9oOr2ZgvyQu88wzixux9,17,Childish Gambino,This Is America,1
102,0bGLvHd0ApdT4t0shCfpzG,6,The Chainsmokers,Side Effects,66
103,0bPnT6i9H1p8Vd85GS6Z7I,16,Jon Pardi,Night Shift,56
104,0bXFIF7iL17TYLyx8JHziM,3,Kodak Black,Patty Cake,76
105,0bhnUFDQFCEHCBlsQfHnj5,2,J. Cole,Photograph,14
106,0c4ICGb0jvszKj3KPR59JU,11,Blake Shelton,Every Time I Hear That Song,56
107,0d2iYfpKoM0QCKvcLCkBao,49,"benny blanco, Halsey, Khalid",Eastside,9
108,0dIoGTQXDh1wVnhIiSyYEa,20,Cardi B,Bartier Cardi,14
109,0e7ipj03S05BNilyu5bRzt,40,Post Malone,Rockstar,1
110,0evt4UZbdhnHtcAnxkm6A1,1,Eminem,Normal,39
111,0fv2KH6hac06J86hBUTcSf,1,"Tyler, The Creator",New Magic Wand,70
112,0gu5B9dUOiLezdDjrLPCCV,1,The Carters,Friends,99
113,0hPLZrnDgtKxrym1BHjDhd,4,21 Savage,Can't Leave Without It,58
