artists_ids,artists_names,made_charts,track_album_name,track_album_release_date,track_art_url,track_id,track_name,track_preview_url,num_faces
"['3Fl1V19tmjt57oBdxXKAjJ', '3wyVrVrFCkukjdVIdirGVY']","['Blueface', 'Lil Pump']",0.0,Dirt Bag,2019-08-09,https://i.scdn.co/image/ab67616d0000b273e186bb6ef785e65fa3ad989b,4eZKAB9uNMIG0yNri34PBp,Bussin (feat. Lil Pump),,1.0
['3Fl1V19tmjt57oBdxXKAjJ'],['Blueface'],0.0,Famous Cryp,2018-06-20,https://i.scdn.co/image/ab67616d0000b27318ef784a382eef3440453538,3Rpuexka1m5xSBb8DyFOcM,Thotiana,,2.0
['5pKCCKE2ajJHZ9KAiaK11H'],['Rihanna'],0.0,A Girl Like Me,2006-04-10,https://i.scdn.co/image/ab67616d0000b273d744a51e193d52170070062b,13xxBnXOuiBxVxJI458B0i,Unfaithful,,1.0
['2r09Inibex3C4ZNTUVSG3m'],['Keith Sweat'],0.0,Make It Last Forever,1987,https://i.scdn.co/image/ab67616d0000b273b935ef18383d0a81d8f93a60,0KgbwF3wEBvPWPwwTLo9iR,How Deep Is Your Love,https://p.scdn.co/mp3-preview/61c791881c7404e2256da0657404e020e93ac578?cid=7f921ccd390e4fd7ba204c6bf3254ebb,1.0
"['3ipn9JLAPI5GUEo4y4jcoi', '55Aa2cqylxrFIXC767Z865']","['Ludacris', 'Lil Wayne']",0.0,S.O.T.L. (Silence of the Lambs) [feat. Lil Wayne],2020-05-21,https://i.scdn.co/image/ab67616d0000b27316eb8633d365084681824411,1tXCF7TwDnuHRgwQ63FeM5,S.O.T.L. (Silence of the Lambs) [feat. Lil Wayne],https://p.scdn.co/mp3-preview/8e04ded9296b5c95b6091c6c47ca0e318049143e?cid=7f921ccd390e4fd7ba204c6bf3254ebb,0.0
['05oH07COxkXKIMt6mIPRee'],['Brandy'],0.0,Waiting To Exhale,1995-11-14,https://i.scdn.co/image/ab67616d0000b2739e3c82ffe334e13097b6d60d,4330XmgVWlx98Y3Naswycg,Sittin' Up In My Room - from Waiting to Exhale - Original Soundtrack,https://p.scdn.co/mp3-preview/1611d8f860f0886308f3c2156f117697bafa9fcb?cid=7f921ccd390e4fd7ba204c6bf3254ebb,4.0
['3DiDSECUqqY1AuBP8qtaIa'],['Alicia Keys'],0.0,In Common,2016-05-04,https://i.scdn.co/image/ab67616d0000b273771e71884e8cd09f722ec34a,0rcDFdi19NtKf9NbHxr0k9,In Common,https://p.scdn.co/mp3-preview/305da2c739f455c29bca2c18a2f9b84d0da332e0?cid=7f921ccd390e4fd7ba204c6bf3254ebb,1.0
['7IfculRW2WXyzNQ8djX8WX'],['Erykah Badu'],0.0,New Amerykah Part One (4th World War),2007-02-26,https://i.scdn.co/image/ab67616d0000b27313066c8c5df466c8a3e57ca4,2z4ypE6YI1mybsczNx4eRU,Honey,,0.0
['7hJcb9fa4alzcOq3EaNPoG'],['Snoop Dogg'],0.0,Doggystyle,1993,https://i.scdn.co/image/ab67616d0000b2733d8c2a1fd8e8c2c2d4c844d2,2rIqgWl4riTsgSeyYYM2cl,G'z And Hustlaz,https://p.scdn.co/mp3-preview/cf007ef4b4404c63d7717d147a38f49b8911183a?cid=7f921ccd390e4fd7ba204c6bf3254ebb,0.0
['1DvtabXAjfrMihPP6JQdHs'],['Shy Glizzy'],0.0,Awwsome,2014-10-21,https://i.scdn.co/image/ab67616d0000b273b670737b0f7dfe5426c0efb4,1OBWQFd7hcTo18GWxS1bnZ,Awwsome,https://p.scdn.co/mp3-preview/eec7deef12199c72432e70d672f0194548408c51?cid=7f921ccd390e4fd7ba204c6bf3254ebb,0.0
['2gBjLmx6zQnFGQJCAQpRgw'],['Nelly'],0.0,Nellyville,2002-06-25,https://i.scdn.co/image/ab67616d0000b273a8b9f97b9ea065b9a857e93f,04KTF78FFg8sOHC1BADqbY,Hot In Herre,,1.0
['0cePXkZbB6Ehoy4EiKLIc1'],['Tapri Grams'],0.0,Onag,2020-10-15,https://i.scdn.co/image/ab67616d0000b273de36376402a52252ce92a907,6Y1Tg41g7DX7m3W2OnLyF1,Nameless,https://p.scdn.co/mp3-preview/ddfa9d71a8a0ed3de480f8f2b5a524cc1b2ccdb3?cid=7f921ccd390e4fd7ba204c6bf3254ebb,0.0
"['6kQWPGBItT0oMCHZy3M9DN', '02kJSzxNuaWGqwubyUba0Z', '2CZPY8YVKdXtI1bF9e4EV7']","['RJMrLA', 'G-Eazy', 'Bree Carter']",0.0,On God,2019-08-09,https://i.scdn.co/image/ab67616d0000b27318c5322d60324885e72b8779,1DJeN9JIHqYBxw2qKvOOIk,Pretty Bitches (feat. G-Eazy & Bree Carter),https://p.scdn.co/mp3-preview/4c3a15e7575178fb95690c3a74dc80cef7e35334?cid=7f921ccd390e4fd7ba204c6bf3254ebb,1.0
['2IBPIcSkvQZyoaVfoyZKE8'],['Guy'],0.0,Guy,1988-01-01,https://i.scdn.co/image/ab67616d0000b273c2123511c8cd53c7329c91d6,67j0ZucyzdfMGWLe2kh6Ze,I Like,,3.0
"['0Y5tJX1MQlPlqiwlOH1tJY', '1RyvyyTE3xzB2ZywiAwp0i', '17lzZA2AlOHwCwFALHttmp']","['Travis Scott', 'Future', '2 Chainz']",0.0,Rodeo (Expanded Edition),2015-09-04,https://i.scdn.co/image/ab67616d0000b2737433176f037e0ba14190c34f,1SGt65i9AnXYdDQt1AtDRH,3500 (feat. Future & 2 Chainz),https://p.scdn.co/mp3-preview/4e1b0ba15687a26e80d14e37db60c4c66d850063?cid=7f921ccd390e4fd7ba204c6bf3254ebb,0.0
"['17lzZA2AlOHwCwFALHttmp', '55Aa2cqylxrFIXC767Z865', '3crnzLy8R4lVwaigKEOz7V']","['2 Chainz', 'Lil Wayne', 'E-40']",0.0,Rap Or Go To The League,2019-03-01,https://i.scdn.co/image/ab67616d0000b27384f49cbc39ac1f18422a4d42,5TTLIG6IKMMcLR3iLYHHYb,"2 Dollar Bill (feat. Lil Wayne, E-40)",,0.0
