,spotify_song_id,weeks_on_chart,artists,name,peak_position
0,000xQL6tZNLJzIrtIgxqSl,10,ZAYN,Still Got Time,62
1,00B7TZ0Xawar6NZ00JFomN,5,Cardi B,Best Life ,24
2,00KjOnN3U40e3lXFUOue7h,1,Metro Boomin,10AM/Save The World,86
3,00NAQYOP4AmWR549nnYJZu,5,The Weeknd,Secrets,116
4,01TnVDiet1DFTsyWKUKovl,22,XXXTENTACION,NUMB,23
5,01dmH2IPkrLNWIMPNXlreE,1,BTS,Paradise,128
6,01gUlvzAPiwB9Ekq9kGVCM,1,BTS,Anpanman,135
7,01k24g94i1JvkFLQmVEdCd,2,"Years, Years",If You're Over Me,159
8,01vv2AjxgP4uUyb8waYO5Y,2,Twenty One Pilots,Morph,41
9,01z2fBGB8Hl3Jd3zXe4IXR,3,Mac Miller,Come Back to Earth,45
10,0247StOpd3AkeBQzANX4Zf,10,Band Aid,Do They Know It's Christmas? - 1984 Version,22
11,03It1uO69CjGWP3yyVe465,1,Nicki Minaj,Chun Swae ,110
12,03eJ2DclFWXYU8GWgANdmZ,21,XXXTENTACION,BAD!,2
13,03hqMhmCZiNKMSPmVabPLP,1,Lana Del Rey,Groupie Love ,122
14,04CttTezSnv71USiiG9mIo,8,"Hearts, Colors",Lighthouse - Andrelli Remix,86
15,04MLEeAMuV9IlHEsD8vF6A,28,French Montana,No Stylist,21
16,04ZTP5KsCypmtCmQg5tH9R,29,Bebe Rexha,I'm a Mess,74
17,04vLj9QUXoKdRlsp3gkURo,1,Bing Crosby,Mele Kalikimaka (Merry Christmas),134
18,0526DaOuV7mRlPKxhMSJKw,1,Future,My Collection,79
19,057sdYirt745dVbe48m7Hl,7,6ix9ine,WAKA,19
20,05KOgYg8PGeJyyWBPi5ja8,13,Drake,Free Smoke,4
21,05bnEv2dpFzmGVLGdjD9UP,3,XXXTENTACION,Orlando,61
22,05mAIVLkIWc2d1UBYZBCp8,2,Charli XCX,1999,157
23,05nbZ1xxVNwUTcGwLbp7CN,37,NAV,Myself,99
24,05r1GGg1Rhs0RcUg27C82a,3,Lil Wayne,Famous ,17
25,064tgRK6FYBwikCdxaHFV1,1,Jonas Brothers,Comeback,137
26,066QkK1heGoXBUPBbcOhEG,1,Logic,The Glorious Five,107
